,precision,recall,f1-score,support
airplane,0.34,0.38,0.36,1000.0
automobile,0.36,0.4,0.38,1000.0
bird,0.26,0.2,0.23,1000.0
cat,0.2,0.17,0.19,1000.0
deer,0.26,0.17,0.21,1000.0
dog,0.31,0.3,0.3,1000.0
frog,0.28,0.32,0.3,1000.0
horse,0.32,0.32,0.32,1000.0
ship,0.32,0.43,0.37,1000.0
truck,0.4,0.44,0.42,1000.0
accuracy,0.31,0.31,0.31,0.31
macro avg,0.31,0.31,0.31,10000.0
weighted avg,0.31,0.31,0.31,10000.0
